Item,Geog location?,Year,Number of items (by same author). i.e. Photos of different exemplars of the same instrument in the same geographical area,Type (if desc + photo counts as photo as most photos described),Trait,Subtype,Name in native language,Group,Where ,Comments,Notes
90,,,,Photo,arrow,,mbànzà ,"Aka, CAR","Bahuchet and Foy, 1991",,
94,,,,Photo,axe,,,"Aka, CAR","Bahuchet, 1985",,
19,,,,Photo,banging sticks,,dì.kpàkpà ,"Aka, CAR","Fürniss, 2012 ",,
57,,,,Photo,basket,,,"Aka, CAR","Bahuchet, 1992",,
68,,,,Photo,basket,it can be augmented with an accesorry made of wooden sticks (shown here) called lèndè,"íkùà, other basket kilingo","Aka, CAR","Bahuchet, 1992",,
73,,,,Photo,basket,,tètè (another type),"Aka, CAR","UNESCO, 2008",,
75,,,,Photo,basket,it can be augmented with an accesorry made of wooden sticks (shown here) called lèndè,íkùà,"Aka, CAR","Bahuchet, 1992",,
3,,,,Photo,bells,body,"mànzànzè, mbòlà","Aka, CAR","Fürniss, 2012 ",,
20,,,,Photo,bells,body,"mànzànzè, mbòlà","Aka, CAR","Fürniss, 2012 ",,
30,,,,Photo,bells,Body,mbòlà,"Aka, CAR","UNESCO, 2008; Furniss, 2017",,
49,,,,Photo,body bells,,"mbòlà, mà.nzènzè","Aka, CAR","Fürniss, unpublished",,
66,,,,Photo,bow,Hunting,ngbángò,"Aka, CAR","Bahuchet, 1992",,
91,,,,Photo,bow,,ngbàngo ,"Aka, CAR","Bahuchet and Foy, 1991",,
67,,,,Photo,crossbow,,mbànò,"Aka, CAR","Bahuchet, 1992",,
71,,,,Photo,crossbow,,mbànò,"Aka, CAR","Bahuchet, 2017",,
72,,,,Photo,darts,,,"Aka, CAR","Bahuchet, 2017",,
16,,,,Photo,drum,"Two-skinned,",ndùmù,"Aka, CAR","Bahuchet and Furniss, 1995",,
17,,,2,Photo,drum,"One-skinned, play standing up or sitting on it. Cylindrical wooden drum",mòkíndá,"Aka, CAR","Fürniss, 2012 ",,
26,,,,Photo,drum,"One-skinned, play standing up or sitting on it",mòkíndá,"Aka, CAR","UNESCO, 2008",,
28,,,,Photo,drum,"One-skinned, play standing up or sitting on it",mòkíndá,"Aka, CAR","UNESCO, 2008",,
32,,,,Photo,drum,"Two-skinned,",ndùmù,"Aka, CAR","Bahuchet and Furniss, 1995",,
33,,,,Photo,drum,"Two-skinned,",ndùmù,"Aka, CAR","Bahuchet and Furniss, 1996",,
34,,,,Photo,drum,"One-skinned, play standing up or sitting on it",mòkíndá,"Aka, CAR","Bahuchet, 1985",,
35,,,,Photo,drum,"One-skinned, play standing up or sitting on it",mòkíndá,"Aka, CAR","Bahuchet, 1985",,
50,,,,Photo,drum,,mokinda,"Aka, CAR","Fürniss, unpublished",,
51,,,,Photo,drum,,ndumu,"Aka, CAR","Fürniss, unpublished",,
22,,,,Photo,flute,"simple flute, without holes or whistle, made with papaya leafstalks","móbéké, hìndèhu","Aka, CAR","Bahuchet and Furniss, 1995",Baka do not have anything like this,
23,,,,Photo,flute,notched,mòbìó,"Aka, CAR","Bahuchet and Furniss, 1995",,
24,,,,Photo,flute,notched,mòbìó,"Aka, CAR","Bahuchet and Furniss, 1995",,
36,,,,Photo,flute,Notched,mòbìó,"Aka, CAR",Bahuchet.1992,,
5,,,,Photo,ground harp,"instrument traditionnel, temporaire, improvisé au moyen d'un couvercle de tôle, d'une branche arquée et d'un fil de nylon que le jeune garçon centrafricain pince avec ses doigts"" (Dournon 1981, p. 52) . le dispositif d'amplification est un trou dans la terre ; la table d'harmonie consiste en une grosse feuille épaisse, une plaque d'écorce ou un vieux couvercle de marmite ; la corde est tendue entre une branche arquée et le centre de la table d'harmonie ;la corde est ici dans une racine aérienne d'une liane Vanilla sp., mais peut aussi bien être en nylon (fil de pêche).",dìgòmbé,"Aka, CAR","Fürniss and Bahuchet 1995, pp. 90, 105 ",,
6,,,,Photo,ground harp,"instrument traditionnel, temporaire, improvisé au moyen d'un couvercle de tôle, d'une branche arquée et d'un fil de nylon que le jeune garçon centrafricain pince avec ses doigts"" (Dournon 1981, p. 52) . le dispositif d'amplification est un trou dans la terre ; la table d'harmonie consiste en une grosse feuille épaisse, une plaque d'écorce ou un vieux couvercle de marmite ; la corde est tendue entre une branche arquée et le centre de la table d'harmonie ;la corde est ici dans une racine aérienne d'une liane Vanilla sp., mais peut aussi bien être en nylon (fil de pêche).",dìgòmbé,"Aka, CAR","Fürniss and Bahuchet 1995, pp. 90, 105 ",,
