Trait,Culture,Aerophone::material,Aerophone::length(cm),Aerophone::width,Aerophone::shape,Aerophone::carvedmarks,Aerophone::burntmarks,Aerophone::addons,Aerophone::covering,Aerophone::handle,Aerophone::mouthpiece,Aerophone::encoche,Aerophone::position,Aerophone::holes,Aerophone::resonator,Aerophone::flatwoodpiece
AKA-CAR-36,Aka,papayals,12.5,2,cylindrical,0,0,0,0,0,0,0,frontal,0,0,0
AKA-CAR-37,Aka,wood,15,3,cylindrical,0,0,0,0,0,0,v,frontal,4,0,0
AKA-CAR-37,Aka,rattan,40,3,cylindrical,0,0,0,0,0,0,v,frontal,4,0,0
AKA-CAR-60,Aka,rattan,37,3,cylindrical,0,0,0,0,0,0,v,frontal,4,0,0
AKA-CAR-88,Aka,papayals,7,2,cylindrical,0,0,0,0,0,0,0,frontal,0,0,0
BAK-CAM-22,Baka,wood,15,3,cylindrical,0,0,0,0,0,0,v,frontal,4,0,0
BAK-CAM-22,Baka,rattan,40,3,cylindrical,0,0,0,0,0,0,v,frontal,4,0,0
BAK-CAM-88,Baka,NA,10,2,cylindrical,0,0,0,0,0,0,0,frontal,NA,0,0
BAT_37,Batwa (East),wood,35,5,cylindrical,0,0,0,0,0,0,0,lateral,0,0,0
BAT_37,Batwa (East),wood,30,5,cylindrical,0,0,0,0,0,0,0,lateral,0,0,0
BAT_37,Batwa (East),wood,40,5,cylindrical,0,0,0,0,0,0,0,lateral,0,0,0
BAT_38,Batwa (East),wood,35,5,cylindrical,0,0,0,0,0,0,0,lateral,0,0,0
BAT_38,Batwa (East),wood,30,5,cylindrical,0,0,0,0,0,0,0,lateral,0,0,0
BAT_38,Batwa (East),wood,40,5,cylindrical,0,0,0,0,0,0,0,lateral,0,0,0
BAT_40,Batwa (East),wood,40,6,cylindrical,0,0,0,0,0,0,0,lateral,0,0,0
BAT_40,Batwa (East),wood,35,7,cylindrical,0,0,0,0,0,0,0,lateral,0,0,0
BAT-UGA-07,Batwa (East),wood,20,2,cylindrical,0,0,0,0,0,0,NA,frontal,0,0,0
TWA_15,Batwa (East),wood,15,3,cylindrical,0,0,0,0,0,0,square,frontal,2,0,0
TWA_16,Batwa (East),wood,15,3,cylindrical,0,0,0,0,0,0,square,frontal,5,0,0
TWA_17,Batwa (East),wood,15,3,cylindrical,0,0,0,0,0,0,square,frontal,3,0,0
TWA_29,Batwa (East),antellope,35,5,twist,1,0,0,0,1,0,0,lateral,0,0,0
TWA_32,Batwa (East),wood,15,5,cylindrical,0,0,0,0,0,0,0,lateral,0,0,0
TWA_32,Batwa (East),wood,15,5,cylindrical,0,0,0,0,0,0,0,lateral,0,0,0
TWA_32,Batwa (East),wood,15,5,cylindrical,0,0,0,0,0,0,0,lateral,0,0,0
TWA_32,Batwa (East),wood,15,5,cylindrical,0,0,0,0,0,0,0,lateral,0,0,0
TWA_32,Batwa (East),pumpkin,15,10,canon,0,0,0,0,0,NA,0,lateral,1,0,0
TWA_33,Batwa (East),NA,25,9,horn,NA,0,0,1,0,NA,0,lateral,0,0,0
TWA_33,Batwa (East),wood,35,3,cylindrical,0,0,0,0,0,0,0,lateral,0,1,0
TWA_33,Batwa (East),wood,15,4,cylindrical,0,0,0,0,0,0,0,lateral,0,0,0
TWA_33,Batwa (East),wood,15,3,cylindrical,0,0,0,0,0,0,0,lateral,0,0,0
TWA_33,Batwa (East),pumpkin,15,8,cylindrical,0,0,0,0,0,NA,0,lateral,NA,0,0
TWA_34,Batwa (East),NA,25,7,horn,NA,0,0,1,0,NA,0,lateral,0,0,0
TWA_34,Batwa (East),wood,20,4,cylindrical,0,0,0,0,0,0,0,lateral,0,0,0
TWA_35,Batwa (East),wood,40,4,cylindrical,0,0,0,0,0,0,0,lateral,0,1,0
TWA_36,Batwa (East),pumpkin,20,8,canon,0,0,0,0,0,0,0,lateral,NA,0,0
TWA_37,Batwa (East),wood,20,5,cylindrical,0,0,0,0,0,0,0,lateral,0,0,0
TWA_38,Batwa (East),wood,20,3,cylindrical,0,0,0,1,0,0,0,lateral,0,0,0
TWA_38,Batwa (East),wood,20,5,cylindrical,0,0,0,0,0,0,0,lateral,0,0,0
TWA_39,Batwa (East),wood,15,4,cylindrical,0,0,0,0,0,0,0,lateral,0,0,0
TWA_40,Batwa (East),wood,20,8,canon,0,0,0,0,0,0,0,lateral,1,0,0
TWA_40,Batwa (East),wood,25,6,horn,0,0,0,1,0,0,0,lateral,0,0,0
TWA_41,Batwa (East),pumpkin,15,8,canon,0,0,0,0,0,0,0,lateral,0,0,0
TWA_41,Batwa (East),wood,15,3,conical,0,0,0,0,0,0,0,lateral,0,0,0
TWA_42,Batwa (East),wood,40,3,cylindrical,0,0,0,0,0,0,0,lateral,1,1,0
TWA_43,Batwa (East),wood,35,3,cylindrical,0,0,0,1,0,1,0,lateral,0,1,0
TWA_44,Batwa (East),wood,35,0,cylindrical,0,0,0,0,0,0,0,lateral,0,1,0
TWA_44,Batwa (East),wood,20,6,horn,NA,0,0,1,0,NA,0,lateral,0,0,0
TWA_44,Batwa (East),NA,15,6,NA,NA,0,0,NA,0,NA,0,lateral,0,0,0
TWA_47,Batwa (East),wood,15,6,conical,0,0,0,0,0,0,0,lateral,0,0,0
TWA_48,Batwa (East),wood,35,4,cylindrical,0,0,0,0,0,0,0,lateral,0,1,0
TWA_49,Batwa (East),wood,25,10,horn,0,0,0,0,0,MA,0,lateral,0,0,0
TWA_50,Batwa (East),wood,35,3,cylindrical,0,0,0,1,0,0,0,lateral,0,1,0
TWA_72,Batwa (East),wood,35,3,cylindrical,0,0,0,0,0,0,0,lateral,0,1,0
TWA_73,Batwa (East),wood,35,4,cylindrical,0,0,0,0,0,0,0,lateral,0,1,0
TWA_73,Batwa (East),wood,20,8,horn,0,0,0,0,0,NA,0,lateral,0,0,0
TWA_74,Batwa (East),wood,20,7,horn,0,0,0,1,0,NA,0,lateral,0,0,0
TWA_75,Batwa (East),wood,35,3,cylindrical,0,0,0,0,0,0,0,lateral,0,1,0
TWA_76,Batwa (East),wood,30,3,cylindrical,0,0,0,0,0,0,0,lateral,0,1,0
TWA_77,Batwa (East),wood,35,3,cylindrical,0,0,0,0,0,0,0,lateral,0,1,0
TWA_78,Batwa (East),wood,30,8,horn,0,0,0,0,0,0,0,lateral,0,0,0
TWA_78,Batwa (East),wood,35,3,cylindrical,0,0,0,0,0,0,0,lateral,0,1,0
TWA_79,Batwa (East),wood,30,NA,horn,0,0,0,0,0,0,0,lateral,0,0,0
TWA_79,Batwa (East),wood,35,3,cylindrical,0,0,0,0,0,0,0,lateral,0,1,0
TWA_8,Batwa (East),wood,15,6,canon,0,0,0,0,0,0,0,lateral,1,0,0
TWA_87,Batwa (East),wood,15,4,horn,0,0,0,1,0,0,0,lateral,0,0,0
TWA_87,Batwa (East),antellope,20,4,spiral,1,0,0,0,0,0,0,lateral,0,0,0
TWA_87,Batwa (East),wood,25,2.5,cylindrical,0,0,0,0,0,0,0,lateral,0,1,0
TWA_93,Batwa (East),wood,30,NA,cylindrical,NA,0,NA,0,0,NA,0,lateral,NA,0,0
TWA_96,Batwa (East),wood,40,10,horn,0,0,0,0,0,NA,0,lateral,0,0,0
TWA_96,Batwa (East),wood,40,8,horn,0,0,0,0,0,NA,0,lateral,0,0,0
TWA_96,Batwa (East),wood,40,10,horn,0,0,0,0,0,NA,0,lateral,0,0,0
BAT_34,Batwa (West),NA,100,12,horn,0,0,0,0,0,0,0,lateral,0,0,0
CWA-DRC-13,Batwa (West),antellope,40,5,spiral,0,0,0,0,0,0,0,lateral,0,0,0
TWA_2,Batwa (West),antellope,25,4,spiral,1,0,0,0,0,0,0,lateral,0,0,0
TWA_24,Batwa (West),NA,110,12,horn,0,0,0,0,0,0,0,NA,0,0,0
EFE_1,Efe,wood,20,2,cylindrical,0,0,0,0,0,0,v,frontal,0,0,0
EFE-DRC-09,Efe,wood,25,2,cylindrical,1,0,0,0,0,0,v,frontal,4,0,0
EFE-DRC-10,Efe,bark,200,17,conical,0,0,strings,1,0,0,0,frontal,0,0,0
EFE-DRC-10,Efe,bark,50,10,conical,0,0,strings,1,0,0,0,frontal,0,0,0
EFE-DRC-10,Efe,bark,40,10,conical,0,0,strings,1,0,0,0,frontal,0,0,0
EFE-DRC-10,Efe,bark,40,8,conical,0,0,strings,1,0,0,0,frontal,0,0,0
EFE-DRC-10,Efe,bark,40,10,conical,0,0,strings,1,0,0,0,frontal,0,0,0
EFE-DRC-11,Efe,wood,30,4,cylindrical,0,0,0,0,0,0,v,frontal,0,0,0
EFE-DRC-11,Efe,wood,30,5,cylindrical,0,0,0,0,0,0,v,frontal,0,0,0
EFE-DRC-11,Efe,wood,25,4,cylindrical,0,0,0,0,0,0,u,frontal,0,0,0
EFE-DRC-11,Efe,wood,20,5,cylindrical,0,0,0,0,0,0,u,frontal,0,0,0
EFE-DRC-11,Efe,wood,15,5,cylindrical,0,0,0,0,0,0,NA,frontal,0,0,0
EFE-DRC-11,Efe,wood,20,6,drop,0,0,0,0,0,0,NA,frontal,0,0,0
EFE-DRC-19,Efe,wood,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,0,0,0
EFE-DRC-32,Efe,bark,100,7,conical,0,0,0,1,0,0,0,lateral,0,0,0
EFE-DRC-32,Efe,bark,100,7,conical,0,0,0,0,0,0,0,lateral,0,0,0
EFE-DRC-32,Efe,bark,80,4,conical,0,0,0,0,0,0,0,lateral,0,0,0
EFE-DRC-32,Efe,bark,100,4,horn,0,0,0,0,0,0,0,lateral,0,0,0
EFE-DRC-32,Efe,bark,NA,4,conical,0,0,0,0,0,0,0,lateral,0,0,0
EFE-DRC-32,Efe,bark,100,4,conical,0,0,0,0,0,0,0,lateral,0,0,0
MBU-30,Efe,wood,20,3,conical,0,0,0,0,0,1,u,frontal,3,0,1
MBU-34,Efe,bamboo,50,2,stick,0,0,0,0,0,0,u,frontal,0,0,0
MBU-35,Efe,wood,40,2.5,stick,0,0,0,0,0,0,u,frontal,0,0,0
MBU-36,Efe,wood,30,2.5,cylindrical,1,0,0,0,0,0,u,frontal,0,0,0
MBU-37,Efe,wood,30,2,curvedstick,0,0,0,0,0,0,u,frontal,0,0,0
MBU-38,Efe,wood,20,2.5,stick,0,0,0,0,0,0,u,frontal,0,0,0
MBU-41,Efe,wood,20,3,cylindrical,1,1,0,0,0,0,v,frontal,1,0,1
MBE-DRC-12,Mbendjele,bamboo,15,3.5,cylindrical,0,0,0,0,0,0,v,frontal,2,0,0
MBE-DRC-12,Mbendjele,bamboo,15,3.5,cylindrical,0,0,0,0,0,0,v,frontal,2,0,0
KAN_12,Sua,wood,25,2.5,cylindrical,1,0,0,0,0,0,v,frontal,4,0,0
KAN_13,Sua,wood,30,2,cylindrical,0,0,0,0,0,0,v,frontal,4,0,0
KAN_15,Sua,wood,8,3,cylindrical,0,1,0,0,1,0,0,frontal,0,0,0
KAN_19,Sua,wood,30,2.5,panpipe,0,0,0,0,0,0,u,frontal,1,0,0
KAN_20,Sua,wood,15,2.5,cylindrical,0,0,0,0,0,0,0,frontal,1,0,0
KAN_21,Sua,wood,40,1,stick,0,1,0,0,0,0,0,frontal,0,0,0
KAN_3,Sua,wood,25,4,horn,0,0,metalend,0,0,1,0,lateral,0,0,0
MBU-27,Sua,wood,15,2,cylindrical,0,0,0,0,1,0,u,frontal,0,0,0
MBU-27,Sua,wood,10,4,conical,0,0,0,1,1,0,0,frontal,0,0,0
MBU-29,Sua,wood,15,4,horn,0,0,0,1,1,1,0,lateral,0,0,0
