Trait,Culture,Basket::carrymode,Basket::size(cm),Basket::base,Basket::shape,Basket::hanginglace,Basket::handle,Basket::techniqueaddon,Basket::augmentingsticks,Basket::rim,Basket::holes
AKA-CAR-08,Aka,hold,60,bowl,conical,1,0,0,0,straight,0
AKA-CAR-15,Aka,wear,NA,bowl,conical,1,0,0,1,hills,0
AKA-CAR-38,Aka,wear,50,flat,conical,0,0,0,1,NA,0
AKA-CAR-39,Aka,head,50,point,conical,0,0,0,1,rim,0
AKA-CAR-51,Aka,head,50,point,conical,1,0,0,0,hills,0
AKA-CAR-53,Aka,NA,50,flat,barrel,0,0,verticalsticks,0,rim,0
BAB-GAB-09,Babongo,wear,60,NA,conical,NA,0,0,0,rim,0
BAB-GAB-10,Babongo,NA,50,flat,cuboidal,0,0,0,NA,NA,0
BAK-CAM-08,Baka,hold,40,flat,cylindrical,0,0,0,0,rim,0
BAK-CAM-09,Baka,NA,100,flat,cuboidal,1,0,verticalsticks,0,rim,0
BAK-CAM-10,Baka,head,30,flat,conical,0,0,0,0,rim,0
BAK-CAM-14,Baka,NA,30,flat,cylindrical,1,0,0,0,rim,large 
BAK-CAM-14,Baka,NA,40,flat,cylindrical,1,0,0,0,rim,large 
BAK-CAM-15,Baka,NA,40,flat,cuboidal,1,0,0,9,rim,0
BAK-CAM-17,Baka,wear,50,flat,conical,0,0,0,0,rim,large
BAK-CAM-17,Baka,head,50,NA,conical,1,0,0,0,NA,0
BAK-CAM-19,Baka,NA,50,flat,conical,1,0,verticalsticks,0,doublerimsticks,0
BAK-CAM-20,Baka,NA,50,flat,cuboidal,0,0,0,0,NA,0
BAK-CAM-20,Baka,NA,20,flat,cuboidal,0,0,0,0,rim,0
BAK-CAM-23,Baka,NA,50,flat,cylindrical,1,0,0,0,rim,0
BAK-CAM-26,Baka,head,50,flat,conical,0,0,0,0,rim,0
BAK-CAM-28,Baka,head,50,NA,conical,0,0,0,0,rim,0
BAK-CAM-35,Baka,head,20,flat,cylindrical,1,0,horizontalsticks,0,rim,large
BAK-CAM-35,Baka,head,40,flat,cylindrical,1,0,horizontalsticks,0,rim,medium
BAK-CAM-46,Baka,head,40,bowl,cylindrical,1,0,0,0,rim,0
BAK-CAM-47,Baka,head,40,flat,cylindrical,1,0,0,0,rim,0
BAK-CAM-48,Baka,head,50,NA,cylindrical,1,0,verticalticks,0,rim,0
BAK-CAM-49,Baka,head,50,flat,cylindrical,1,0,verticalticks,0,rim,0
BAK-CAM-50,Baka,head,50,flat,cylindrical,1,0,verticalticks,0,rim,0
BAK-CAM-76,Baka,NA,50,flat,cylindrical,1,0,0,0,rim,medium
BAK-CAM-76,Baka,NA,50,flat,cylindrical,0,0,0,0,rim,medium
BAK-CAM-76,Baka,NA,50,flat,cylindrical,0,0,0,0,rim,medium
BAK-CAM-76,Baka,NA,50,flat,cylindrical,0,0,0,0,rim,medium
BAK-CAM-76,Baka,NA,50,flat,cylindrical,0,0,0,0,rim,medium
BAL-CAM-01,Bakola,wear,50,flat,widecylynder,1,0,middlerim,0,rim,medium
BAL-CAM-03,Bakola,hold,30,flat,widecylynder,1,0,NA,0,rim,medium
BAL-CAM-06,Bakola,NA,40,flat,conical,0,0,0,0,rim,medium
BAL-CAM-08,Bakola,wear,50,flat,cylindrical,0,0,0,0,rim,large
BAL-CAM-21,Bakola,wear,50,flat,widecylynder,0,0,1,0,rim,large
BAT-UGA-10,Batwa (East),hold,40,bowl,bowl,0,0,0,0,rim,small
BAY-GAB-02,Bakoya,hold,30,flat,conical,0,1,0,0,rim,0
BAY-GAB-02,Bakoya,wear,40,bowl,cylindrical,1,0,0,0,rim,0
