,Aka,Babongo,Baka,Bakola,Bakoya,Batwa (East),Bedzan,Efe,Mbendjele,Sua
Aka,0,0.006050081,0.001772557,0.002978914,0.002275106,0.03135485,0.01171543,0.01482343,0,0.01482343
Babongo,0.006050081,0,0.0142121,0.01131959,0.01225487,0.03193768,0.02244076,0.01923704,0.006050081,0.01923704
Baka,0.001772557,0.0142121,0,0.0146181,0.01585466,0.04110665,0.02522704,0.03019088,0.001772557,0.03019088
Bakola,0.002978914,0.01131959,0.0146181,0,0.002486954,0.03827522,0.01667794,0.02216944,0.002978914,0.02216944
Bakoya,0.002275106,0.01225487,0.01585466,0.002486954,0,0.03807551,0.01675719,0.02073938,0.002275106,0.02073938
Batwa (East),0.03135485,0.03193768,0.04110665,0.03827522,0.03807551,0,0.04594927,0.01373775,0.03135485,0.01373775
Bedzan,0.01171543,0.02244076,0.02522704,0.01667794,0.01675719,0.04594927,0,0.02918265,0.01171543,0.02918265
Efe,0.01482343,0.01923704,0.03019088,0.02216944,0.02073938,0.01373775,0.02918265,0,0.01482343,0
Mbendjele,0,0.006050081,0.001772557,0.002978914,0.002275106,0.03135485,0.01171543,0.01482343,0,0.01482343
Sua,0.01482343,0.01923704,0.03019088,0.02216944,0.02073938,0.01373775,0.02918265,0,0.01482343,0
