ID2,ID1,type,total_shared,shared_unique,shared_unique_nouncl,spatial_dist,gen_dist_masked,linguistic_distance,koile_patristic,glotto_nodes
Babongo,Aka,music,5,2,2,776.0690271,0.006148188,0.75620125,8253.094509,50
Baka,Aka,music,16,12,12,307.089221,0.001828521,0.8303224,9869.964,79
Baka,Babongo,music,4,3,1,539.6568291,0.01434566,0.840276275,9869.964,64.8
Bakola,Aka,music,0,0,0,739.1723219,0.003009076,0.8407557,6398.768928,60
Bakola,Babongo,music,2,1,1,592.7982116,0.01145854,0.81716205,8253.094513,54.2
Bakola,Baka,music,0,0,0,448.0546962,0.01478564,0.8255193,9869.964,79
Bakoya,Aka,music,3,1,0,367.0355312,0.00229501,0.7692736,6398.768928,60
Bakoya,Babongo,music,2,0,0,409.1419682,0.01216995,0.7358702,8253.094509,54.2
Bakoya,Baka,music,2,0,0,187.8158817,0.01569744,0.795772,9869.964,79
Bakoya,Bakola,music,1,0,0,545.4820988,0.003176816,0.7182731,6398.768928,12
Batwa (East),Aka,music,0,0,0,1516.45381,0.03145386,0.8607756,8253.094514,60
Batwa (East),Babongo,music,0,0,0,1929.267227,0.03195924,0.738541225,7114.102197,63.8
Batwa (East),Baka,music,1,0,0,1769.582004,0.04122203,0.7117783,9869.964,79
Batwa (East),Bakola,music,0,0,0,2214.471939,0.03872101,0.8197966,8253.094518,60
Batwa (East),Bakoya,music,0,0,0,1686.155252,0.03818137,0.7801563,8253.094518,60
Batwa (West),Aka,music,1,1,1,521.0282447,NA,0.8943835,8253.094509,16
Batwa (West),Babongo,music,2,1,1,731.864055,NA,0.723501,6737.577153,50
Batwa (West),Baka,music,1,1,1,636.670676,NA,0.8943835,9869.964,79
Batwa (West),Bakola,music,1,0,0,1048.075645,NA,0.8246972,8253.094513,60
Batwa (West),Bakoya,music,1,0,0,502.7049778,NA,0.7789598,8253.094509,60
Batwa (West),Batwa (East),music,0,0,0,1206.911089,NA,0.7335445,7114.102197,60
Bedzan,Aka,music,0,0,0,681.5444651,0.01183003,0.8163812,9869.964,64
Bedzan,Babongo,music,0,0,0,877.3277792,0.02263618,0.8173099,9869.964,67
Bedzan,Baka,music,0,0,0,497.7609491,0.02532532,0.8523494,9869.964,79
Bedzan,Bakola,music,1,0,0,344.3782164,0.01680603,0.7990915,9869.964,64
Bedzan,Bakoya,music,0,0,0,671.4024573,0.01676864,0.8145678,9869.964,64
Bedzan,Batwa (East),music,0,0,0,2196.559598,0.04614687,0.8402524,9869.964,64
Bedzan,Batwa (West),music,0,0,0,1128.27275,NA,0.829417,9869.964,64
Efe,Aka,music,3,1,1,1395.529186,0.01472217,0.8375558,9869.964,87
Efe,Babongo,music,1,0,0,1973.519556,0.01895501,0.85333445,9869.964,87
Efe,Baka,music,4,1,1,1687.854796,0.02994044,0.8999159,9869.964,87
Efe,Bakola,music,0,0,0,2132.588894,0.02244534,0.8921852,9869.964,87
Efe,Bakoya,music,0,0,0,1653.449517,0.02082026,0.8876192,9869.964,87
Efe,Batwa (East),music,1,0,0,465.5803186,0.01346262,0.8498302,9869.964,87
Efe,Batwa (West),music,0,0,0,1249.062123,NA,0.893712,9869.964,87
Efe,Bedzan,music,0,0,0,2041.976804,0.02912993,0.8846317,9869.964,87
Sua,Aka,music,2,2,2,1293.088704,0.01472217,0.7533053,8253.094509,10
Sua,Babongo,music,0,0,0,1865.928885,0.01895501,0.764265425,6737.577153,50
Sua,Baka,music,2,1,1,1583.46273,0.02994044,0.7929572,9869.964,79
Sua,Bakola,music,0,0,0,2028.971335,0.02244534,0.8231725,8253.094513,60
Sua,Bakoya,music,0,0,0,1546.745877,0.02082026,0.7558964,8253.094509,60
Sua,Batwa (East),music,1,0,0,457.3567922,0.01346262,0.8231725,7114.102197,60
Sua,Batwa (West),music,0,0,0,1141.872415,NA,0.7343432,5897.485473,16
Sua,Bedzan,music,0,0,0,1944.608227,0.02912993,0.8652951,9869.964,64
Sua,Efe,music,2,1,1,107.6081628,0,0.8454989,9869.964,87
Babongo,Aka,subsistence,0,0,0,776.0690271,0.006148188,0.75620125,8253.094509,50
Baka,Aka,subsistence,3,2,2,307.089221,0.001828521,0.8303224,9869.964,79
Baka,Babongo,subsistence,0,0,0,539.6568291,0.01434566,0.840276275,9869.964,64.8
Bakola,Aka,subsistence,0,0,0,739.1723219,0.003009076,0.8407557,6398.768928,60
Bakola,Babongo,subsistence,0,0,0,592.7982116,0.01145854,0.81716205,8253.094513,54.2
Bakola,Baka,subsistence,0,0,0,448.0546962,0.01478564,0.8255193,9869.964,79
Bakoya,Aka,subsistence,3,1,1,367.0355312,0.00229501,0.7692736,6398.768928,60
Bakoya,Babongo,subsistence,0,0,0,409.1419682,0.01216995,0.7358702,8253.094509,54.2
